Date,Revenue,Orders,Expenses
2029-01-15,41116,524,25759
2029-01-16,25215,72,30490
2029-01-17,30817,221,24520
2029-01-18,29765,367,8278
2029-01-19,35112,242,36727
2029-01-20,30556,167,13031
2029-01-21,23099,55,27853
2029-01-22,48553,532,23604
2029-01-23,11450,181,28919
2029-01-24,18230,142,24154
2029-01-25,34009,571,11906
2029-01-26,10433,343,17298
2029-01-27,38866,441,4347
2029-01-28,44864,298,8008
2029-01-29,23710,466,27553
2029-01-30,16439,192,30018
2029-01-31,46855,286,7868
2029-02-01,21021,336,33905
2029-02-02,11416,326,6960
2029-02-03,11980,436,12944
2029-02-04,23058,431,5505
2029-02-05,16101,499,26759
2029-02-06,45718,340,21121
2029-02-07,37602,218,22063
2029-02-08,14122,492,34559
2029-02-09,17576,233,8760
2029-02-10,32516,94,16081
2029-02-11,27433,317,36126
2029-02-12,6089,525,33961
2029-02-13,42346,302,36844
2029-02-14,14127,445,17088
2029-02-15,15487,338,10236
2029-02-16,5155,261,25148
2029-02-17,6958,70,39295
2029-02-18,15693,365,36843
2029-02-19,44112,487,23432
2029-02-20,43547,472,19712
2029-02-21,33795,282,17433
2029-02-22,26447,172,30808
2029-02-23,41598,263,39245
2029-02-24,46814,89,20386
2029-02-25,30215,381,28152
2029-02-26,14794,231,27902
2029-02-27,38209,314,35662
2029-02-28,27424,582,17702
2029-03-01,42396,481,38589
2029-03-02,11370,245,29857
2029-03-03,14528,558,21764
2029-03-04,33276,496,11686
2029-03-05,49333,577,5416
2029-03-06,13179,251,28729
2029-03-07,21843,182,35671
2029-03-08,28952,188,5142
2029-03-09,38160,542,22772
2029-03-10,49898,119,28377
2029-03-11,34516,64,3207
2029-03-12,15449,261,13846
2029-03-13,26125,109,24511
2029-03-14,12418,301,27711
2029-03-15,27746,495,28746
2029-03-16,7454,51,9024
2029-03-17,22761,385,33392
2029-03-18,20223,68,37204
2029-03-19,11701,127,25759
2029-03-20,7597,521,29724
2029-03-21,5141,77,13797
2029-03-22,7659,214,28021
2029-03-23,25980,507,38549
2029-03-24,14031,225,36211
2029-03-25,20037,78,36334
2029-03-26,43429,328,22986
2029-03-27,11142,332,21320
2029-03-28,17109,528,39951
2029-03-29,27010,568,19021
2029-03-30,13787,354,24199
2029-03-31,47864,158,8500
2029-04-01,13472,373,32666
2029-04-02,28383,255,8402
2029-04-03,9249,283,26371
2029-04-04,39518,507,38454
2029-04-05,23351,236,18515
2029-04-06,9088,531,20587
2029-04-07,20282,456,10057
2029-04-08,24330,558,15099
2029-04-09,47409,569,25097
2029-04-10,26778,102,8183
2029-04-11,29264,447,23463
2029-04-12,10075,248,34060
2029-04-13,15412,440,19696
2029-04-14,33365,547,11354
2029-04-15,12230,221,20912
2029-04-16,16002,135,32361
2029-04-17,18947,235,24880
2029-04-18,18686,205,18760
2029-04-19,34304,542,7768
2029-04-20,18074,570,26951
2029-04-21,9493,179,36166
2029-04-22,39228,130,20431
2029-04-23,19140,433,21326
2029-04-24,36655,344,30706
2029-04-25,48472,318,36007
2029-04-26,11816,584,29934
2029-04-27,16639,427,36439
2029-04-28,34492,425,35224
2029-04-29,16240,137,27303
2029-04-30,37698,160,38229
2029-05-01,31957,203,30969
2029-05-02,37808,512,23532
2029-05-03,10827,205,36855
2029-05-04,37762,367,9776
2029-05-05,13259,287,12334
2029-05-06,19849,383,31484
2029-05-07,21232,155,31831
2029-05-08,45572,531,26665
2029-05-09,29173,431,32205
2029-05-10,10374,310,10054
2029-05-11,26174,342,4028
2029-05-12,28567,384,13368
2029-05-13,40292,525,24435
2029-05-14,14277,274,20054
2029-05-15,36600,503,17611
2029-05-16,14885,345,16394
2029-05-17,5778,512,37623
2029-05-18,34165,263,33748
2029-05-19,6492,207,34724
2029-05-20,35462,321,29582
2029-05-21,18615,287,16597
2029-05-22,49900,352,12880
2029-05-23,47946,570,23815
2029-05-24,12851,370,19953
2029-05-25,21288,108,25840
2029-05-26,12156,407,15886
2029-05-27,7044,300,14966
2029-05-28,12368,485,28440
2029-05-29,24900,195,9514
2029-05-30,35600,401,8349
2029-05-31,30634,294,4029
2029-06-01,14168,350,9616
2029-06-02,25961,487,37764
2029-06-03,49096,149,28824
2029-06-04,28852,529,29712
2029-06-05,38110,464,21471
2029-06-06,37174,214,28256
2029-06-07,39215,351,36142
2029-06-08,31955,170,6045
2029-06-09,11581,137,17728
2029-06-10,49619,266,32713
2029-06-11,11317,228,16838
2029-06-12,47856,212,25659
2029-06-13,31649,219,36573
2029-06-14,28132,350,9352
2029-06-15,21789,423,26030
2029-06-16,19567,252,36046
2029-06-17,19868,96,4405
2029-06-18,29370,512,10150
2029-06-19,47533,457,32623
2029-06-20,35483,243,20716
2029-06-21,17466,476,11065
2029-06-22,33803,366,15564
2029-06-23,23230,528,22531
2029-06-24,22862,470,6449
2029-06-25,48355,318,36200
2029-06-26,36259,530,36777
2029-06-27,38539,312,10279
2029-06-28,26909,475,8191
2029-06-29,35795,215,11508
2029-06-30,13770,477,8307
2029-07-01,16093,446,7216
2029-07-02,5193,265,4365
2029-07-03,39775,156,12127
2029-07-04,22569,147,22902
2029-07-05,16190,531,38536
2029-07-06,47752,548,3495
2029-07-07,37327,279,6592
2029-07-08,47070,306,5232
2029-07-09,25389,92,22319
2029-07-10,45197,291,17667
2029-07-11,7261,144,16000
2029-07-12,33369,237,9719
2029-07-13,31512,434,7445
2029-07-14,11716,449,38135
2029-07-15,26259,555,13776
2029-07-16,33933,216,20289
2029-07-17,46689,174,14419
2029-07-18,9378,136,10900
2029-07-19,45583,538,29403
2029-07-20,24835,275,31298
2029-07-21,34033,394,30156
2029-07-22,29000,567,27037
2029-07-23,15332,80,8009
2029-07-24,47604,345,10235
2029-07-25,7800,463,29091
2029-07-26,34538,184,14195
2029-07-27,35119,574,29248
2029-07-28,13333,53,29226
2029-07-29,10410,227,23779
2029-07-30,22839,308,13666
2029-07-31,35519,114,23379
2029-08-01,10808,412,34709
2029-08-02,11796,66,33818
2029-08-03,26180,249,33949
2029-08-04,48056,593,28853
2029-08-05,22709,261,37195
2029-08-06,22543,484,24997
2029-08-07,42418,322,38870
2029-08-08,34075,339,37114
2029-08-09,42755,532,32871
2029-08-10,42465,283,4961
2029-08-11,35502,457,8690
2029-08-12,21724,195,18168
2029-08-13,8828,479,8458
2029-08-14,22087,481,29942
2029-08-15,17605,594,13033
2029-08-16,36337,546,11047
2029-08-17,10482,138,7902
2029-08-18,32005,460,4496
2029-08-19,27760,290,30664
2029-08-20,10463,272,7582
2029-08-21,9912,517,32482
2029-08-22,9648,371,37811
2029-08-23,38623,424,39144
2029-08-24,40634,161,34872
2029-08-25,49602,576,20218
2029-08-26,8112,461,20007
2029-08-27,27054,318,23366
2029-08-28,9492,301,32827
2029-08-29,27207,423,36264
2029-08-30,20114,499,34607
2029-08-31,39285,586,30005
2029-09-01,21018,417,34475
2029-09-02,26386,304,19926
2029-09-03,22740,512,36683
2029-09-04,49199,317,21185
2029-09-05,13210,175,14274
2029-09-06,49363,442,36947
2029-09-07,17743,383,37839
2029-09-08,47092,417,30314
2029-09-09,49299,505,33288
2029-09-10,11588,116,28892
2029-09-11,8311,115,28682
2029-09-12,27432,449,4589
2029-09-13,38755,336,33809
2029-09-14,8321,235,21870
2029-09-15,20812,333,11679
2029-09-16,42383,565,11803
2029-09-17,18146,286,30650
2029-09-18,18654,67,12529
2029-09-19,40820,463,31998
2029-09-20,5726,58,13392
2029-09-21,8760,469,7583
2029-09-22,27190,78,29690
2029-09-23,6875,397,13328
2029-09-24,28377,499,24638
2029-09-25,9033,429,19238
2029-09-26,43211,415,25955
2029-09-27,22373,276,24682
2029-09-28,8744,167,19462
2029-09-29,29995,461,8652
2029-09-30,21977,405,19761
2029-10-01,37402,303,33235
2029-10-02,39542,592,27351
2029-10-03,15651,493,14176
2029-10-04,38703,130,36914
2029-10-05,18395,95,28639
2029-10-06,34808,98,5216
2029-10-07,41576,498,30415
2029-10-08,21715,456,35657
2029-10-09,49409,332,20847
2029-10-10,29306,522,20900
2029-10-11,24086,465,14242
2029-10-12,19376,170,34073
2029-10-13,10889,52,20910
2029-10-14,42822,365,31186
2029-10-15,41636,509,17978
2029-10-16,25584,276,16606
2029-10-17,39610,128,35031
2029-10-18,15058,593,10421
2029-10-19,14101,120,5548
2029-10-20,17497,246,10252
2029-10-21,9658,107,15849
2029-10-22,16381,473,7608
2029-10-23,45312,518,28091
2029-10-24,45486,97,9745
2029-10-25,22154,484,38830
2029-10-26,24539,234,33222
2029-10-27,16777,214,12640
2029-10-28,39396,380,36734
2029-10-29,35373,379,25078
2029-10-30,38154,170,35875
2029-10-31,11031,262,26565
2029-11-01,32997,556,3509
2029-11-02,11439,217,9815
2029-11-03,27785,595,39639
2029-11-04,18392,476,35408
2029-11-05,33669,270,25892
2029-11-06,33939,59,16276
2029-11-07,7282,169,6500
2029-11-08,39624,296,15546
2029-11-09,29364,409,18042
2029-11-10,6998,270,3229
2029-11-11,36705,555,27725
2029-11-12,43244,107,36677
2029-11-13,14428,509,14720
2029-11-14,42437,177,34879
2029-11-15,17336,135,20018
2029-11-16,14342,153,34118
2029-11-17,44832,192,7717
2029-11-18,12446,254,21574
2029-11-19,43392,87,16235
2029-11-20,12461,412,8189
2029-11-21,39587,358,24323
2029-11-22,15516,101,26465
2029-11-23,18749,50,39242
2029-11-24,22514,60,14972
2029-11-25,40426,263,4865
2029-11-26,41268,567,36066
2029-11-27,29950,464,39493
2029-11-28,39888,57,30967
2029-11-29,41788,54,7540
2029-11-30,15213,411,30773
2029-12-01,41027,161,15464
2029-12-02,33011,322,16596
2029-12-03,47849,471,34385
2029-12-04,39591,314,18386
2029-12-05,22858,507,22906
2029-12-06,23626,261,23802
2029-12-07,18467,127,9818
2029-12-08,44758,270,12037
2029-12-09,8134,418,7185
2029-12-10,21743,396,39994
2029-12-11,20434,74,27480
2029-12-12,15233,469,10692
2029-12-13,6141,403,22999
2029-12-14,23019,466,9805
2029-12-15,25384,564,6157
2029-12-16,47903,264,37873
2029-12-17,41129,161,36761
2029-12-18,27967,477,16705
2029-12-19,45603,265,22480
2029-12-20,16172,462,35957
2029-12-21,21390,429,34678
2029-12-22,8267,281,29699
2029-12-23,44332,307,29994
2029-12-24,31167,305,32570
2029-12-25,26312,452,22282
2029-12-26,32840,473,15793
2029-12-27,23990,114,29542
2029-12-28,49179,239,23633
2029-12-29,10906,222,18637
2029-12-30,45379,276,22795
2029-12-31,22297,437,31522
2030-01-01,7011,450,12238
2030-01-02,49014,262,30149
2030-01-03,16738,102,29534
2030-01-04,33797,188,12256
2030-01-05,16120,467,3517
2030-01-06,13767,192,15425
2030-01-07,27852,558,24602
2030-01-08,18703,535,17676
2030-01-09,5929,486,24819
2030-01-10,16951,592,13781
2030-01-11,31039,342,21656
2030-01-12,34504,333,38076
2030-01-13,22438,63,28678
2030-01-14,10744,321,7792
2030-01-15,23284,74,14955
2030-01-16,47417,371,11268
2030-01-17,44748,152,21693
2030-01-18,12069,89,28601
2030-01-19,47359,284,29640
2030-01-20,24799,138,7439
2030-01-21,38210,149,16227
2030-01-22,33226,193,32517
2030-01-23,9652,131,32702
2030-01-24,29323,278,9389
2030-01-25,47138,444,31575
2030-01-26,12597,562,22942
2030-01-27,42226,246,27392
2030-01-28,11591,323,20229
2030-01-29,30833,421,28268
2030-01-30,16826,129,15240
2030-01-31,31417,284,34000
2030-02-01,23693,336,4332
2030-02-02,19138,594,14229
2030-02-03,7169,486,9300
2030-02-04,23556,176,20658
2030-02-05,27052,466,28820
2030-02-06,11313,90,3337
2030-02-07,13315,518,39062
2030-02-08,13036,346,32906
2030-02-09,36778,91,16445
2030-02-10,32734,328,4867
2030-02-11,28173,508,31581
2030-02-12,35403,82,26298
2030-02-13,5785,325,3494
2030-02-14,11139,139,7642
2030-02-15,11344,573,39654
2030-02-16,23800,209,11352
2030-02-17,30372,507,5036
2030-02-18,25538,448,17722
2030-02-19,19973,140,19186
2030-02-20,10619,515,24467
2030-02-21,39704,269,28951
2030-02-22,41575,468,5281
2030-02-23,44919,428,33695
2030-02-24,47261,496,4601
2030-02-25,32716,195,4299
2030-02-26,8236,282,17794
2030-02-27,20848,420,33148
2030-02-28,7352,283,32713
2030-03-01,6932,416,19026
2030-03-02,15913,530,34097
2030-03-03,13556,412,21430
2030-03-04,26300,560,38649
2030-03-05,10498,144,24858
2030-03-06,15582,265,21582
2030-03-07,14569,592,6332
2030-03-08,9857,184,36871
2030-03-09,5340,132,6177
2030-03-10,48949,440,31170
2030-03-11,21766,96,33603
2030-03-12,31132,441,37945
2030-03-13,13491,434,23885
2030-03-14,5138,430,32728
2030-03-15,5358,126,11727
2030-03-16,14714,308,17532
2030-03-17,24840,448,28645
2030-03-18,39395,149,27708
2030-03-19,35654,550,19647
2030-03-20,30879,432,18956
2030-03-21,20996,241,21436
2030-03-22,42772,394,18068
2030-03-23,31762,59,25209
2030-03-24,18283,313,16732
2030-03-25,44420,317,25428
2030-03-26,24554,244,7089
2030-03-27,25219,456,33788
2030-03-28,39919,345,30423
2030-03-29,14429,146,36125
2030-03-30,49695,511,16999
2030-03-31,44673,136,11942
2030-04-01,24218,126,18840
2030-04-02,17452,532,6250
2030-04-03,23951,195,5258
2030-04-04,6307,160,36351
2030-04-05,19852,346,22822
2030-04-06,30232,475,17501
2030-04-07,40428,383,13768
2030-04-08,48171,572,28728
2030-04-09,31485,587,21167
2030-04-10,15238,211,23916
2030-04-11,43975,479,8117
2030-04-12,6140,118,13333
2030-04-13,29842,182,35302
2030-04-14,31421,238,17922
2030-04-15,6708,328,21517
2030-04-16,8630,479,28317
2030-04-17,24595,591,9120
2030-04-18,15485,210,5477
2030-04-19,33308,502,24342
2030-04-20,49789,219,9137
2030-04-21,31086,106,38644
2030-04-22,21859,289,35810
2030-04-23,12684,407,11595
2030-04-24,30552,250,28902
2030-04-25,6207,493,25730
2030-04-26,6960,351,9686
2030-04-27,5557,155,32113
2030-04-28,34689,150,34926
2030-04-29,18893,146,18661
2030-04-30,37272,78,37654
2030-05-01,5882,555,4303
2030-05-02,42529,487,20496
2030-05-03,43635,428,25424
2030-05-04,34535,122,10452
2030-05-05,17869,303,29474
2030-05-06,12166,565,34873
2030-05-07,17982,599,17426
2030-05-08,45697,69,36335
2030-05-09,43115,584,33541
2030-05-10,12269,470,12380
2030-05-11,33064,495,37121
2030-05-12,18527,185,14804
2030-05-13,7454,554,28556
2030-05-14,25878,350,7965
2030-05-15,17991,82,3168
2030-05-16,7808,327,5671
2030-05-17,44410,182,19762
2030-05-18,41593,576,32904
2030-05-19,41304,175,4932
2030-05-20,35386,394,17213
2030-05-21,8802,66,35961
2030-05-22,33753,427,27839
2030-05-23,26083,109,32942
2030-05-24,23354,516,33325
2030-05-25,27190,440,29047
2030-05-26,11142,236,13207
2030-05-27,33398,547,33435
2030-05-28,46862,410,7616
2030-05-29,38132,498,10878
2030-05-30,24503,230,17814
2030-05-31,39631,179,20684
2030-06-01,21499,198,38968
2030-06-02,44852,521,6373
2030-06-03,13016,549,28149
2030-06-04,7384,404,37151
2030-06-05,20072,260,18178
2030-06-06,41703,79,28956
2030-06-07,19482,73,29099
2030-06-08,45510,271,7991
2030-06-09,26826,450,8202
2030-06-10,7490,561,23316
2030-06-11,30518,137,32695
2030-06-12,29045,514,6622
2030-06-13,31910,99,4610
2030-06-14,29566,152,19988
2030-06-15,38905,417,33326
2030-06-16,32103,541,3620
2030-06-17,41188,317,18335
2030-06-18,10845,446,5602
2030-06-19,26162,369,29759
2030-06-20,41674,569,23184
2030-06-21,24337,498,25922
2030-06-22,27313,525,35923
2030-06-23,31943,289,18398
2030-06-24,17413,307,30929
2030-06-25,5276,439,18903
2030-06-26,22611,392,14309
2030-06-27,44105,436,38483
2030-06-28,16944,443,11070
2030-06-29,20906,319,36217
2030-06-30,25536,198,32425
2030-07-01,32810,429,18106
2030-07-02,17306,77,36837
2030-07-03,15503,198,7017
2030-07-04,24225,469,32420
2030-07-05,41976,329,31167
2030-07-06,16590,231,38587
2030-07-07,15886,215,16582
2030-07-08,17866,66,16867
2030-07-09,6088,199,21669
2030-07-10,8363,388,13227
2030-07-11,37792,94,18947
2030-07-12,14764,551,14932
2030-07-13,25620,238,13985
2030-07-14,47727,110,9375
2030-07-15,17935,343,18805
2030-07-16,13068,82,20107
2030-07-17,12295,348,10535
2030-07-18,46160,464,19470
2030-07-19,16390,598,27081
2030-07-20,46216,480,9846
2030-07-21,25131,544,7149
2030-07-22,34218,149,39188
2030-07-23,15433,72,32925
2030-07-24,20038,469,6212
2030-07-25,33182,473,6922
2030-07-26,16528,536,33544
2030-07-27,26281,138,35065
2030-07-28,13605,258,30065
2030-07-29,39782,320,25694
2030-07-30,6381,455,9042
2030-07-31,6098,327,11013
2030-08-01,24810,255,34285
2030-08-02,29322,377,27648
2030-08-03,46869,385,6754
2030-08-04,37955,87,14187
2030-08-05,49716,277,3546
2030-08-06,15207,532,39497
2030-08-07,26793,183,37736
2030-08-08,7092,439,33599
2030-08-09,33220,474,7516
2030-08-10,23514,559,4259
2030-08-11,43010,476,26376
2030-08-12,13549,523,27140
2030-08-13,27031,410,22317
2030-08-14,10185,260,5509
2030-08-15,20271,228,15264
2030-08-16,10776,107,20946
2030-08-17,17449,122,34635
2030-08-18,29297,264,13277
2030-08-19,45591,122,29365
2030-08-20,20717,516,27459
2030-08-21,45123,320,6669
2030-08-22,44233,548,33564
2030-08-23,15350,403,21865
2030-08-24,35622,283,19588
2030-08-25,40323,368,18040
2030-08-26,7951,68,20125
2030-08-27,22622,421,33759
2030-08-28,9727,233,31070
2030-08-29,43454,326,10049
2030-08-30,41469,194,18516
2030-08-31,40548,130,7737
2030-09-01,28782,371,19027
2030-09-02,33454,484,13015
2030-09-03,7368,92,39965
2030-09-04,20592,362,18095
2030-09-05,27173,342,18053
2030-09-06,38204,118,25872
2030-09-07,40596,105,34519
2030-09-08,39324,253,26063
2030-09-09,28864,469,9306
2030-09-10,35750,599,15573
2030-09-11,15576,292,20248
2030-09-12,21566,250,29656
2030-09-13,12190,523,19941
2030-09-14,28071,576,16018
2030-09-15,43333,126,16088
2030-09-16,20369,527,23675
2030-09-17,29035,489,19124
2030-09-18,6589,312,19831
2030-09-19,30235,234,37589
2030-09-20,5159,104,6819
2030-09-21,17145,357,33286
2030-09-22,20373,565,14164
2030-09-23,36921,348,35701
2030-09-24,44323,279,19475
2030-09-25,21237,426,22305
2030-09-26,46971,335,14498
2030-09-27,13244,187,35869
2030-09-28,19743,527,39603
2030-09-29,36566,56,7235
2030-09-30,23691,468,15015
2030-10-01,38996,521,17601
2030-10-02,10590,469,10509
2030-10-03,10585,325,19918
2030-10-04,14227,139,38693
2030-10-05,33278,331,29959
2030-10-06,43814,597,3909
2030-10-07,17237,220,12605
2030-10-08,20649,404,17505
2030-10-09,42713,253,3118
2030-10-10,12927,338,31638
2030-10-11,12016,511,6113
2030-10-12,19027,222,17765
2030-10-13,29142,350,20875
2030-10-14,28545,578,21480
2030-10-15,36897,189,10944
2030-10-16,8167,327,38022
2030-10-17,49757,560,28089
2030-10-18,31917,395,35563
2030-10-19,27736,189,4233
2030-10-20,32990,163,24642
2030-10-21,19087,556,31708
2030-10-22,27440,415,33937
2030-10-23,40205,446,3129
2030-10-24,20275,160,39484
2030-10-25,10276,407,21155
2030-10-26,46627,287,23838
2030-10-27,45586,52,26154
2030-10-28,42496,453,33294
2030-10-29,24008,74,8273
2030-10-30,10738,558,11697
2030-10-31,37402,514,8628
2030-11-01,10793,110,28414
2030-11-02,42291,557,7718
2030-11-03,10571,172,22060
2030-11-04,36331,546,3096
2030-11-05,21209,104,21347
2030-11-06,30394,212,33396
2030-11-07,48148,88,14058
2030-11-08,30682,132,15218
2030-11-09,7224,595,19982
2030-11-10,46157,162,35281
2030-11-11,49452,474,6963
2030-11-12,48408,279,28004
2030-11-13,37441,332,26677
2030-11-14,46430,336,4324
2030-11-15,44129,204,30166
2030-11-16,39716,214,27495
2030-11-17,49859,231,29092
2030-11-18,31586,288,4339
2030-11-19,49760,388,15286
2030-11-20,28478,561,32235
2030-11-21,11318,315,14595
2030-11-22,33694,236,28552
2030-11-23,25180,89,16629
2030-11-24,17180,542,32925
2030-11-25,38002,440,15843
2030-11-26,20372,309,35035
2030-11-27,34796,225,26988
2030-11-28,29427,378,35683
2030-11-29,38290,249,35986
2030-11-30,33099,245,36301
2030-12-01,14821,580,17977
2030-12-02,10832,111,10951
2030-12-03,17820,376,29071
2030-12-04,21211,330,12565
2030-12-05,44890,276,31715
2030-12-06,10842,107,14334
2030-12-07,6316,526,29300
2030-12-08,22508,425,22369
2030-12-09,27005,292,27401
2030-12-10,20206,416,23639
2030-12-11,23971,549,20388
2030-12-12,30599,301,21506
2030-12-13,27056,371,15766
2030-12-14,6378,425,9696
2030-12-15,6519,458,6981
2030-12-16,27161,537,19855
2030-12-17,45703,392,22789
2030-12-18,43861,289,3308
2030-12-19,10355,188,30510
2030-12-20,14083,171,32372
2030-12-21,43342,469,10707
2030-12-22,25456,353,18522
2030-12-23,18324,164,38815
2030-12-24,7257,392,29497
2030-12-25,32364,300,33524
2030-12-26,29972,56,37785
2030-12-27,31654,228,16366
2030-12-28,20233,194,37246
2030-12-29,20887,465,29928
2030-12-30,34320,170,23581
2030-12-31,25808,173,27105
2031-01-01,35154,199,22843
2031-01-02,39773,446,8434
2031-01-03,32747,430,36339
2031-01-04,15860,50,22973
2031-01-05,47838,293,14635
2031-01-06,47156,447,3596
2031-01-07,23156,300,24457
2031-01-08,25360,348,35415
2031-01-09,23135,346,31321
2031-01-10,30351,549,17834
2031-01-11,35499,164,23709
2031-01-12,28554,50,6371
2031-01-13,24604,531,3157
2031-01-14,21923,559,19032
2031-01-15,13547,384,6318
2031-01-16,49283,514,16462
2031-01-17,38002,190,11957
2031-01-18,19562,186,14843
2031-01-19,12480,216,5612
2031-01-20,31672,392,23946
2031-01-21,9213,459,15020
2031-01-22,15293,114,15773
2031-01-23,39441,116,33247
2031-01-24,7100,482,3443
2031-01-25,49617,99,20288
2031-01-26,33172,363,5910
2031-01-27,25132,358,37569
2031-01-28,23199,164,20309
2031-01-29,41609,391,14913
2031-01-30,47965,579,17265
2031-01-31,13016,544,31963
2031-02-01,44779,318,32905
2031-02-02,42261,129,27235
2031-02-03,36881,505,12426
2031-02-04,22058,348,5922
2031-02-05,29472,251,33091
2031-02-06,46346,552,30771
2031-02-07,39926,534,12776
2031-02-08,39832,67,3919
2031-02-09,41021,527,23954
2031-02-10,29087,537,23837
2031-02-11,17828,495,12958
2031-02-12,36128,389,8575
2031-02-13,6401,580,10945
2031-02-14,24643,165,13863
2031-02-15,20193,123,18857
2031-02-16,31853,318,35309
2031-02-17,49864,165,25954
2031-02-18,25307,213,36368
2031-02-19,41982,271,30742
2031-02-20,24611,175,15134
2031-02-21,48791,225,14580
2031-02-22,16950,424,23966
2031-02-23,15704,547,19037
2031-02-24,48111,134,5786
2031-02-25,16867,432,22079
2031-02-26,7745,512,18231
2031-02-27,8866,500,14840
2031-02-28,37245,567,5052
2031-03-01,49724,599,36399
2031-03-02,10818,165,6442
2031-03-03,35116,57,4754
2031-03-04,20493,267,12770
2031-03-05,33038,453,16499
2031-03-06,25447,353,3025
2031-03-07,35431,516,27330
2031-03-08,22908,137,13401
2031-03-09,34336,59,9553
2031-03-10,45992,357,8759
2031-03-11,9025,483,10755
2031-03-12,25093,213,16384
2031-03-13,11155,288,32928
2031-03-14,38487,366,30478
2031-03-15,25963,384,36897
2031-03-16,25936,67,35374
2031-03-17,9426,120,23529
2031-03-18,28303,224,35368
2031-03-19,32606,388,17371
2031-03-20,33151,297,10369
2031-03-21,18767,242,6895
2031-03-22,16308,468,17453
2031-03-23,49245,374,7797
2031-03-24,29770,355,4828
2031-03-25,33572,253,12727
2031-03-26,46448,172,15517
2031-03-27,7204,496,19943
2031-03-28,32233,540,29831
2031-03-29,26729,482,27814
2031-03-30,36131,177,11050
2031-03-31,38870,597,12663
2031-04-01,43011,96,9900
2031-04-02,44382,554,24796
2031-04-03,46475,164,18784
2031-04-04,26607,465,6683
2031-04-05,29968,272,11396
2031-04-06,38398,552,10347
2031-04-07,16908,145,22984
2031-04-08,31423,156,26027
2031-04-09,48615,81,20597
2031-04-10,14171,542,17072
2031-04-11,17721,115,15026
2031-04-12,21616,228,38859
2031-04-13,47512,492,34041
2031-04-14,43458,598,33987
2031-04-15,12659,250,6498
2031-04-16,48369,98,35256
2031-04-17,16704,312,17905
2031-04-18,37793,182,27839
2031-04-19,36226,393,5137
2031-04-20,28852,225,18946
2031-04-21,37082,440,27508
2031-04-22,27794,60,18620
2031-04-23,46420,250,17823
2031-04-24,18379,52,39633
2031-04-25,12006,263,8460
2031-04-26,13682,356,38314
2031-04-27,38840,593,15722
2031-04-28,37430,376,27694
2031-04-29,28091,248,10214
2031-04-30,37983,158,34911
2031-05-01,28989,340,16310
2031-05-02,14915,157,38163
2031-05-03,47552,457,27055
2031-05-04,23990,101,17874
2031-05-05,29734,161,30943
2031-05-06,19824,344,34917
2031-05-07,41081,238,4702
2031-05-08,16033,114,23058
2031-05-09,47736,514,17537
2031-05-10,21241,307,15259
2031-05-11,10939,380,18892
2031-05-12,40063,550,23635
2031-05-13,39464,259,31544
2031-05-14,16185,138,3013
2031-05-15,32045,77,11090
2031-05-16,49769,287,5169
2031-05-17,24167,385,13423
2031-05-18,41412,112,31452
2031-05-19,26625,549,11017
2031-05-20,44188,590,35948
2031-05-21,32076,518,28993
2031-05-22,49605,100,39232
2031-05-23,24029,161,14611
2031-05-24,27973,350,35219
2031-05-25,44121,139,33860
2031-05-26,36433,278,24063
2031-05-27,48309,199,17065
2031-05-28,6932,187,27324
2031-05-29,49254,184,4286
2031-05-30,6757,506,37958
2031-05-31,35722,543,27869
2031-06-01,42853,576,8628
2031-06-02,43405,382,32093
2031-06-03,6116,411,3660
2031-06-04,48527,223,22562
2031-06-05,16691,262,6389
2031-06-06,5492,392,38831
2031-06-07,32882,110,38608
2031-06-08,13811,110,13770
2031-06-09,32808,573,29627
2031-06-10,29272,265,9146
2031-06-11,33399,472,25945
2031-06-12,11474,472,27944
2031-06-13,31956,420,20280
2031-06-14,47506,255,26251
2031-06-15,18979,335,32235
2031-06-16,49523,154,34896
2031-06-17,47565,592,16322
2031-06-18,33328,291,10747
2031-06-19,17867,540,35212
2031-06-20,30851,547,38903
2031-06-21,36279,484,5277
2031-06-22,35527,533,4656
2031-06-23,12866,496,35403
2031-06-24,20449,433,37531
2031-06-25,15685,559,18413
2031-06-26,28544,219,9910
2031-06-27,10451,372,38385
2031-06-28,26642,523,38522
2031-06-29,46316,281,28504
2031-06-30,44954,408,11101
2031-07-01,43870,324,11067
2031-07-02,36030,81,31235
2031-07-03,35873,226,8208
2031-07-04,5619,114,17928
2031-07-05,38650,76,13425
2031-07-06,30372,528,31485
2031-07-07,8642,317,35523
2031-07-08,33001,115,16182
2031-07-09,39064,182,9222
2031-07-10,34290,415,17480
2031-07-11,19122,131,38331
2031-07-12,29820,377,38571
2031-07-13,7895,147,38061
2031-07-14,10366,376,21009
2031-07-15,13711,591,18789
2031-07-16,24596,174,36339
2031-07-17,23793,259,32107
2031-07-18,13199,182,29287
2031-07-19,15717,552,18014
2031-07-20,41191,206,11574
2031-07-21,15211,431,20467
2031-07-22,28360,71,24914
2031-07-23,26542,468,15361
2031-07-24,36312,521,22881
2031-07-25,41435,283,24880
2031-07-26,33247,503,30251
2031-07-27,27357,211,29889
2031-07-28,46045,350,38365
2031-07-29,32691,355,28979
2031-07-30,17424,51,16360
2031-07-31,23852,320,35602
2031-08-01,27601,470,4403
2031-08-02,23020,192,39088
2031-08-03,13155,584,17782
2031-08-04,8583,86,17020
